stock_code,transaction_date,pattern_type,pattern_explanation
603316.SH,20260708,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600396.SH,20260708,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
603459.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
603773.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。 缺失原始数据，按当日市场中位水平补全判断。
603007.SH,20260708,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600152.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600156.SH,20260708,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600530.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
605006.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。 缺失原始数据，按当日市场中位水平补全判断。
600379.SH,20260708,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
603779.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。 缺失原始数据，按当日市场中位水平补全判断。
600936.SH,20260708,分时脉冲,盘中出现较快的拉升回落或试探动作，节奏短促，更多体现为脉冲型波动。
600208.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600719.SH,20260708,对倒拉升,成交活跃度与价格波动同步放大，盘口节奏偏快，存在制造活跃度并拉升股价的迹象。
600726.SH,20260708,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600172.SH,20260708,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
605287.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。 缺失原始数据，按当日市场中位水平补全判断。
603407.SH,20260708,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600758.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
603344.SH,20260708,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
603318.SH,20260708,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
600589.SH,20260708,日内套利,日内振幅较大但收盘偏离不深，更像在区间里反复高抛低吸做差价。
603095.SH,20260708,盘中诱多,盘中一度尝试上攻，但收盘回落到偏弱位置，带有吸引跟风后转弱的特征。
